id,name,points
211,bobby,11572
212,bobby,43456
213,bobby,17273
214,bobby,38422
215,bobby,38874
216,bobby,19284
217,bobby,15661
218,bobby,33096
219,bobby,45737
220,bobby,16301
221,bobby,28623
222,bobby,27542
223,bobby,1052
224,bobby,35170
225,bobby,25275
226,bobby,17798
227,bobby,31622
228,bobby,11735
229,bobby,47082
230,bobby,3874
231,bobby,41824
232,bobby,10708
233,bobby,18593
234,bobby,879
235,bobby,32643
236,bobby,10699
237,bobby,20864
238,bobby,18397
239,bobby,13759
240,bobby,34919
241,bobby,17148
242,bobby,14360
243,bobby,2079
244,bobby,40117
245,bobby,42183
246,bobby,40207
247,bobby,6601
248,bobby,43357
249,bobby,23838
250,bobby,1932
251,bobby,29545
252,bobby,14677
253,bobby,27222
254,bobby,1623
255,bobby,14616
256,bobby,547
257,bobby,23040
258,bobby,5391
259,bobby,11427
260,bobby,13653
261,bobby,8822
262,bobby,1281
263,bobby,13724
264,bobby,43433
265,bobby,33193
266,bobby,39054
267,bobby,11724
268,bobby,12928
269,bobby,35981
270,bobby,2755
271,bobby,1725
272,bobby,26592
273,bobby,46203
274,bobby,7774
275,bobby,1230
276,bobby,18502
277,bobby,6923
278,bobby,45796
279,bobby,15080
280,bobby,30740
281,bobby,13836
282,bobby,9573
283,bobby,25873
284,bobby,4496
285,bobby,32037
286,bobby,33089
287,bobby,18258
288,bobby,43532
289,bobby,11329
290,bobby,42951
291,bobby,4685
292,bobby,1767
293,bobby,5640
294,bobby,47463
295,bobby,8171
296,bobby,26764
297,bobby,27643
298,bobby,10285
299,bobby,20984
300,bobby,41847
301,bobby,10243
302,bobby,24002
303,bobby,8920
304,bobby,26068
305,bobby,40427
306,bobby,42506
307,bobby,32622
308,bobby,24804
309,bobby,15011
310,bobby,21611
311,bobby,14968
312,bobby,38805
313,bobby,40737
314,bobby,20282
315,bobby,34958
316,bobby,12179
317,bobby,13801
318,bobby,28417
319,bobby,28964
320,bobby,2003
321,bobby,7393
322,bobby,18820
323,bobby,32472
324,bobby,41293
325,bobby,42573
326,bobby,6297
327,bobby,49729
328,bobby,32922
329,bobby,21976
330,bobby,33699
331,bobby,46627
332,bobby,32607
333,bobby,35361
334,bobby,37086
335,bobby,13677
336,bobby,9879
337,bobby,17653
338,bobby,18882
339,bobby,37383
340,bobby,44306
341,bobby,40102
342,bobby,5181
343,bobby,35920
344,bobby,49756
345,bobby,9328
346,bobby,35201
347,bobby,39696
348,bobby,21733
349,bobby,4821
350,bobby,23079
351,bobby,16610
352,bobby,27939
353,bobby,20889
354,bobby,25574
355,bobby,27340
356,bobby,32980
357,bobby,30443
358,bobby,38614
359,bobby,15377
360,bobby,43019
361,bobby,3304
362,bobby,24287
363,bobby,16133
364,bobby,26376
365,bobby,377
366,bobby,9297
367,bobby,35364
368,bobby,25790
369,bobby,18296
370,bobby,917
371,bobby,25721
372,bobby,40732
373,bobby,12343
374,bobby,27310
375,bobby,16115
376,bobby,6852
377,bobby,27133
378,bobby,12090
379,bobby,24269
380,bobby,38070
381,bobby,16486
382,bobby,45449
383,bobby,47452
384,bobby,4845
385,bobby,23664
386,bobby,6136
387,bobby,47428
388,bobby,40001
389,bobby,46297
390,bobby,46026
391,bobby,28948
392,bobby,923
393,bobby,34622
394,bobby,31248
395,bobby,13855
396,bobby,49216
397,bobby,36301
398,bobby,49977
399,bobby,9856
400,bobby,27508
401,bobby,46390
402,bobby,33772
403,bobby,28077
404,bobby,18178
405,bobby,23358
406,bobby,9278
407,bobby,9034
408,bobby,18361
409,bobby,3562
410,bobby,43258
411,bobby,14990
412,bobby,19810
413,bobby,42888
414,bobby,9498
415,bobby,37437
416,bobby,8325
417,bobby,33899
418,bobby,11238
419,bobby,44217
420,bobby,24659
421,bobby,13272
422,bobby,28649
423,bobby,21668
424,bobby,24971
425,bobby,49257
426,bobby,15390
427,bobby,41766
428,bobby,42142
429,bobby,1439
430,bobby,36802
431,bobby,12592
432,bobby,30887
433,bobby,31804
434,bobby,7524
435,bobby,48256
436,bobby,10598
437,bobby,37907
438,bobby,4021
439,bobby,10872
440,bobby,38005
441,bobby,95
442,bobby,24363
443,bobby,12433
444,bobby,28918
445,bobby,24367
446,bobby,21819
447,bobby,26664
448,bobby,328
449,bobby,6463
450,bobby,3890
451,bobby,43891
452,bobby,40187
453,bobby,36212
454,bobby,15159
455,bobby,16082
456,bobby,704
457,bobby,31951
458,bobby,45806
459,bobby,45021
460,bobby,31321
461,bobby,31298
462,bobby,41154
463,bobby,18662
464,bobby,15051
465,bobby,48823
466,bobby,26899
467,bobby,45077
468,bobby,18435
469,bobby,27712
470,bobby,36745
471,bobby,5106
472,bobby,8668
473,bobby,1925
474,bobby,16914
475,bobby,36724
476,bobby,29612
477,bobby,39109
478,bobby,26545
479,bobby,34870
480,bobby,18768
481,bobby,30005
482,bobby,24222
483,bobby,48881
484,bobby,12153
485,bobby,40801
486,bobby,12468
487,bobby,37439
488,bobby,36696
489,bobby,2085
490,bobby,43850
491,bobby,35992
492,bobby,37430
493,bobby,24231
494,bobby,36822
495,bobby,17709
496,bobby,49512
497,bobby,7036
498,bobby,5291
499,bobby,15889
500,bobby,3796
501,bobby,7816
502,bobby,18688
503,bobby,6692
504,bobby,6786
505,bobby,31149
506,bobby,43581
507,bobby,22499
508,bobby,46866
509,bobby,18685
510,bobby,45348
511,bobby,45675
512,bobby,2137
513,bobby,6027
514,bobby,49917
515,bobby,40104
516,bobby,26316
517,bobby,41475
518,bobby,7557
519,bobby,8260
520,bobby,40210
521,bobby,36016
522,bobby,31036
523,bobby,12357
524,bobby,43655
525,bobby,34809
526,bobby,3470
527,bobby,18521
528,bobby,17343
529,bobby,44242
530,bobby,39318
531,bobby,7752
532,bobby,35464
533,bobby,22209
534,bobby,27314
535,bobby,35981
536,bobby,37906
537,bobby,4819
538,bobby,41542
539,bobby,21153
540,bobby,10262
541,bobby,36806
542,bobby,21676
543,bobby,40443
544,bobby,20448
545,bobby,44670
546,bobby,43550
547,bobby,5703
548,bobby,46503
549,bobby,8971
550,bobby,46410
551,bobby,33105
552,bobby,35189
553,bobby,29039
554,bobby,15030
555,bobby,2460
556,bobby,26691
557,bobby,13513
558,bobby,31221
559,bobby,30733
560,bobby,37769
561,bobby,43060
562,bobby,8948
563,bobby,12743
564,bobby,20559
565,bobby,39247
566,bobby,45939
567,bobby,2725
568,bobby,33873
569,bobby,27454
570,bobby,49953
571,bobby,46819
572,bobby,15503
573,bobby,10850
574,bobby,6525
575,bobby,8662
576,bobby,14688
577,bobby,14605
578,bobby,4708
579,bobby,31024
580,bobby,22498
581,bobby,30054
582,bobby,38313
583,bobby,28523
584,bobby,14539
585,bobby,45574
586,bobby,7931
587,bobby,1585
588,bobby,36394
589,bobby,39863
590,bobby,8384
591,bobby,25726
592,bobby,19967
593,bobby,9285
594,bobby,17036
595,bobby,2500
596,bobby,24708
597,bobby,2022
598,bobby,38003
599,bobby,25908
600,bobby,30726
601,bobby,22268
602,bobby,43420
603,bobby,3681
604,bobby,40487
605,bobby,12163
606,bobby,2606
607,bobby,23053
608,bobby,17723
609,bobby,11273
610,bobby,16975
611,bobby,13478
612,bobby,22449
613,bobby,18858
614,bobby,1962
615,bobby,37151
616,bobby,16190
617,bobby,31220
618,bobby,33679
619,bobby,10369
620,bobby,23882
621,bobby,5102
622,bobby,35834
623,bobby,23602
624,bobby,16661
625,bobby,25609
626,bobby,38351
627,bobby,8909
628,bobby,48156
629,bobby,44094
630,bobby,46818
631,bobby,30691
632,bobby,8144
633,bobby,8097
634,bobby,4915
635,bobby,20418
636,bobby,31268
637,bobby,37792
638,bobby,46453
639,bobby,11141
640,bobby,25746
641,bobby,30453
642,bobby,11477
643,bobby,33975
644,bobby,14028
645,bobby,2341
646,bobby,30864
647,bobby,45402
648,bobby,40976
649,bobby,48907
650,bobby,491
651,bobby,36884
652,bobby,26747
653,bobby,35130
654,bobby,10856
655,bobby,30822
656,bobby,40106
657,bobby,7142
658,bobby,9641
659,bobby,34349
660,bobby,36370
661,bobby,24372
662,bobby,280
663,bobby,31005
664,bobby,3273
665,bobby,46692
666,bobby,373
667,bobby,40860
668,bobby,3023
669,bobby,5628
670,bobby,28681
671,bobby,46403
672,bobby,7675
673,bobby,24649
674,bobby,38127
675,bobby,10575
676,bobby,29432
677,bobby,31394
678,bobby,18545
679,bobby,34734
680,bobby,15953
681,bobby,49632
682,bobby,10001
683,bobby,33882
684,bobby,38984
685,bobby,24817
686,bobby,48419
687,bobby,15080
688,bobby,40689
689,bobby,29039
690,bobby,37948
691,bobby,36103
692,bobby,30196
693,bobby,27014
694,bobby,7704
695,bobby,15848
696,bobby,23944
697,bobby,28859
698,bobby,49276
699,bobby,30544
700,bobby,18335
701,bobby,14788
702,bobby,25928
703,bobby,1673
704,bobby,32126
705,bobby,43603
706,bobby,27577
707,bobby,41605
708,bobby,43946
709,bobby,24809
710,bobby,20211
711,bobby,11187
712,bobby,10093
713,bobby,10584
714,bobby,47468
715,bobby,24215
716,bobby,9345
717,bobby,20200
718,bobby,1022
719,bobby,41128
720,bobby,48269
721,bobby,7910
722,bobby,42258
723,bobby,28628
724,bobby,3000
725,bobby,3279
726,bobby,34284
727,bobby,37556
728,bobby,34248
729,bobby,34621
730,bobby,25481
731,bobby,28503
732,bobby,34130
733,bobby,12810
734,bobby,9213
735,bobby,16887
736,bobby,41536
737,bobby,29662
738,bobby,40237
739,bobby,19668
740,bobby,1062
741,bobby,19606
742,bobby,4340
743,bobby,20293
744,bobby,19924
745,bobby,29925
746,bobby,13806
747,bobby,2789
748,bobby,27606
749,bobby,26025
750,bobby,41105
751,bobby,31793
752,bobby,10832
753,bobby,48780
754,bobby,34883
755,bobby,15079
756,bobby,42092
757,bobby,49795
758,bobby,15643
759,bobby,39586
760,bobby,18445
761,bobby,17721
762,bobby,48264
763,bobby,16599
764,bobby,31386
765,bobby,7314
766,bobby,8987
767,bobby,41113
768,bobby,34715
769,bobby,12291
770,bobby,3896
771,bobby,47841
772,bobby,22650
773,bobby,42861
774,bobby,4047
775,bobby,14140
776,bobby,24724
777,bobby,22191
778,bobby,46406
779,bobby,5750
780,bobby,25950
781,bobby,26971
782,bobby,18098
783,bobby,16367
784,bobby,24276
785,bobby,16534
786,bobby,45162
787,bobby,48161
788,bobby,1439
789,bobby,35722
790,bobby,23277
791,bobby,7525
792,bobby,42145
793,bobby,17625
794,bobby,46127
795,bobby,30257
796,bobby,43067
797,bobby,2279
798,bobby,19166
799,bobby,10701
800,bobby,40363
801,bobby,30599
802,bobby,267
803,bobby,1329
804,bobby,20934
805,bobby,25274
806,bobby,45566
807,bobby,15490
808,bobby,45414
809,bobby,9220
810,bobby,12008
811,bobby,39614
812,bobby,15639
813,bobby,6743
814,bobby,38536
815,bobby,49368
816,bobby,48147
817,bobby,33029
818,bobby,48107
819,bobby,40198
820,bobby,39993
821,bobby,5635
822,bobby,45221
823,bobby,13665
824,bobby,31386
825,bobby,29649
826,bobby,46247
827,bobby,27633
828,bobby,34946
829,bobby,43932
830,bobby,35044
831,bobby,19759
832,bobby,32049
833,bobby,35944
834,bobby,33785
835,bobby,6434
836,bobby,49294
837,bobby,3341
838,bobby,17480
839,bobby,42203
840,bobby,14394
841,bobby,10800
842,bobby,16549
843,bobby,42498
844,bobby,19469
845,bobby,37566
846,bobby,3933
847,bobby,28208
848,bobby,44742
849,bobby,39903
850,bobby,38063
851,bobby,39502
852,bobby,25223
853,bobby,48500
854,bobby,6024
855,bobby,48169
856,bobby,15793
857,bobby,11920
858,bobby,42176
859,bobby,35242
860,bobby,37520
861,bobby,6685
862,bobby,17386
863,bobby,7749
864,bobby,38348
865,bobby,38615
866,bobby,39943
867,bobby,10877
868,bobby,36150
869,bobby,31716
870,bobby,47205
871,bobby,42618
872,bobby,1838
873,bobby,13845
874,bobby,3459
875,bobby,19097
876,bobby,25840
877,bobby,14376
878,bobby,13743
879,bobby,11889
880,bobby,44917
881,bobby,43024
882,bobby,33222
883,bobby,23214
884,bobby,28849
885,bobby,24069
886,bobby,37734
887,bobby,19119
888,bobby,48768
889,bobby,45014
890,bobby,22647
891,bobby,7592
892,bobby,1523
893,bobby,36567
894,bobby,6325
895,bobby,38374
896,bobby,24318
897,bobby,8102
898,bobby,14535
899,bobby,13829
900,bobby,17169
901,bobby,34648
902,bobby,26851
903,bobby,41245
904,bobby,2044
905,bobby,18593
906,bobby,11091
907,bobby,30559
908,bobby,18125
909,bobby,22057
910,bobby,265
911,bobby,45006
912,bobby,34909
913,bobby,22972
914,bobby,12473
915,bobby,37696
916,bobby,36195
917,bobby,42219
918,bobby,40387
919,bobby,6180
920,bobby,18099
921,bobby,10274
922,bobby,45516
923,bobby,33035
924,bobby,39720
925,bobby,7106
926,bobby,14854
927,bobby,3202
928,bobby,41816
929,bobby,31758
930,bobby,42635
931,bobby,28784
932,bobby,10499
933,bobby,7704
934,bobby,321
935,bobby,2158
936,bobby,16003
937,bobby,19462
938,bobby,38559
939,bobby,14399
940,bobby,28774
941,bobby,42516
942,bobby,4404
943,bobby,49321
944,bobby,42345
945,bobby,25566
946,bobby,48780
947,bobby,27628
948,bobby,1696
949,bobby,39430
950,bobby,8548
951,bobby,7316
952,bobby,2330
953,bobby,24976
954,bobby,32567
955,bobby,34090
956,bobby,20657
957,bobby,26981
958,bobby,15355
959,bobby,39673
960,bobby,47774
961,bobby,12309
962,bobby,26137
963,bobby,43306
964,bobby,27953
965,bobby,4804
966,bobby,46049
967,bobby,48092
968,bobby,16685
969,bobby,27775
970,bobby,8334
971,bobby,26458
972,bobby,48514
973,bobby,48779
974,bobby,43784
975,bobby,28693
976,bobby,1664
977,bobby,14137
978,bobby,1832
979,bobby,38027
980,bobby,30246
981,bobby,20633
982,bobby,26812
983,bobby,44910
984,bobby,5184
985,bobby,699
986,bobby,33734
987,bobby,23453
988,bobby,30558
989,bobby,45412
990,bobby,48613
991,bobby,40428
992,bobby,22186
993,bobby,14821
994,bobby,43604
995,bobby,4103
996,bobby,11806
997,bobby,12127
998,bobby,14285
999,bobby,30288
1000,bobby,49750
